sentence,scene_type,
Try this pillow,1,
Tired of waking up hot and uncomfortable,11,
Try this pillow,1,
Get the best night's sleep with a pillow that stays cool and supportive,8,
Get the best night's sleep with a pillow that stays cool and supportive,13,
The secret to better sleep,22,
It's this pillow right here,18,
You deserve a pillow that keeps you cool and comfortable all night,17,
Upgrade your sleep with Marshmalloo and wake up feeling refreshed,1,
Upgrade your sleep with Marshmalloo and wake up feeling refreshed,13,
"Get Marshmalloo today for the cool, comfortable sleep you deserve",1,
"Get Marshmalloo today for the cool, comfortable sleep you deserve",8,
Stop overheating and start sleeping better with Marshmalloo,11,
Ready to experience the ultimate in pillow comfort,1,
Try Marshmalloo now,1,
"Say goodbye to flat, uncomfortable pillows",11,
Choose Marshmalloo for better sleep,1,
Transform your sleep tonight with Marshmalloo's cooling comfort and perfect support,1,
Transform your sleep tonight with Marshmalloo's cooling comfort and perfect support,8,"
"
"Finally, a pillow that actually helps you sleep better",11,
"Finally, a pillow that actually helps you sleep better",13,
"Out of all pillows I tried, the Marshmalloo Pillow has honestly made the biggest difference in my sleep",10,
"Out of all pillows I tried, the Marshmalloo Pillow has honestly made the biggest difference in my sleep",13,
"I used to wake up hot and sweaty, but this pillow's cooling tech keeps me comfortable all night, no more tossing and turning",11,
"I used to wake up hot and sweaty, but this pillow's cooling tech keeps me comfortable all night, no more tossing and turning",8,
"It's the perfect balance of softness and support, and I'm not waking up with a sore neck anymore",8,
"It's the perfect balance of softness and support, and I'm not waking up with a sore neck anymore",13,
"And no matter how I sleep, on my side, back, or stomach, it adapts to my style and stays comfortable",13,
"And no matter how I sleep, on my side, back, or stomach, it adapts to my style and stays comfortable",12,
"I've noticed I feel more rested and energized every morning, and what's great is that it doesn't go flat like other pillows",13,
"I've noticed I feel more rested and energized every morning, and what's great is that it doesn't go flat like other pillows",8,
"It stays plush and supportive, making my sleep routine something I actually look forward to",8,
"It stays plush and supportive, making my sleep routine something I actually look forward to",10,
"If you want to upgrade your sleep, Marshmalloo is a game changer",1,
"If you want to upgrade your sleep, Marshmalloo is a game changer",13,
The secret to better sleep is this pillow right here,22,
The secret to better sleep is this pillow right here,18,
"I struggled with sleep for nearly 10 years, but all of that changed when I came across this pillow from Marshmalloo",23,
"I struggled with sleep for nearly 10 years, but all of that changed when I came across this pillow from Marshmalloo",11,
"It includes so many amazing features, including cooling technology to prevent you from waking up hot and sweaty, a versatile design that allows you to sleep comfortably no matter the position",8,
"It includes so many amazing features, including cooling technology to prevent you from waking up hot and sweaty, a versatile design that allows you to sleep comfortably no matter the position",13,
"It includes so many amazing features, including cooling technology to prevent you from waking up hot and sweaty, a versatile design that allows you to sleep comfortably no matter the position",11,
And it doesn't lose its shape after repeated use and stays plush and supportive all night,8,
And it doesn't lose its shape after repeated use and stays plush and supportive all night,13,
I wake up each morning now feeling so refreshed,13,
"Safe to say, I'm never going back to my old pillows",10,
Say goodbye to flat uncomfortable pillows and choose Marshmalloo for better sleep,11,
Say goodbye to flat uncomfortable pillows and choose Marshmalloo for better sleep,1,
How do you like your Marshmalloo,20,
I love it,10,
It's truly amazing,10,
And it feels like a hug for my head,8,
And it feels like a hug for my head,4,
"Oh, soft",3,
You want it to look soft,8,
It just feels like a hug from my head at night,8,
It just feels like a hug from my head at night,4,
It feels just like a hug from my head during the night time,8,
Why do you love this pillow,20,
It feels silky and super soft and very comfortable to sleep with,8,
I can cuddle with it,12,
I could cuddle with it for like forever,10,
It’s my favorite pillow,10,
I use it every single night,24,
Imagine a pillow that feels like a Marshmalloo,22,
Do you really think your standard pillow is optimized for the best possible sleep,20,
"You're right, it's not",11,
But look at the fluff with this right here,8,
And it feels exactly how it looks,8,
Marshmalloo Sleep Pillow is changing lives,10,
"Doesn't matter if you're a side, stomach, or back sleeper, this pillow is optimized for it all",8,
"Doesn't matter if you're a side, stomach, or back sleeper, this pillow is optimized for it all",13,
It's made of soft and comfortable material to relieve neck pain,8,
It's made of soft and comfortable material to relieve neck pain,13,
Don't forget that it has cooling technology to keep you feeling good throughout the night,8,
Customers are extremely happy with their sleep when it comes to this pillow,10,
"I don't know about you, but I'm getting this as a present for my entire family",0,
"I don't know about you, but I'm getting this as a present for my entire family",10,
"Click the link below, uh, you need this and you won't regret it",1,
"When I tell you, I am so excited to see this new pillow",16,
I'm like a kid on Christmas morning,16,
I cannot wait to open this,16,
This is the Marshmalloo Pillow,18,
"It is so soft and squeezable, giving you a feeling of comfort for adults and children",8,
"It is so soft and squeezable, giving you a feeling of comfort for adults and children",17,
It has cooling technology that makes you stay cool all night long,8,
"It provides support for your head, neck, and shoulder",8,
"I was using this gray, old, hard pillow, and my sleep is improving so much with the Marshmalloo Pillow",23,
"I was using this gray, old, hard pillow, and my sleep is improving so much with the Marshmalloo Pillow",13,
It really feels like a cloud,8,
I am obsessed,10,
This would be the perfect gift to give this holiday season,0,
Go order yours today at Marshmalloo.com,1,
